识别号,票卡号,交易日期,票卡类型,交易类型,上次交易车站,此次交易车站,上次交易时间 ,此次交易时间,交易金额
1,2.66E+15,20170314,128,7,352,360,71143,65759,0
2,2.66E+15,20170314,128,7,346,352,70709,65704,0
3,2.66E+15,20170314,128,7,361,361,180105,65803,0
4,2.66E+15,20170314,128,7,357,357,200807,65543,0
5,2.66E+15,20170314,128,8,350,344,63704,65338,180
6,2.66E+15,20170314,128,7,345,358,75551,70303,0
7,2.66E+15,20170314,128,7,357,357,182144,65639,0
8,2.66E+15,20170314,128,7,345,357,65653,70057,0
9,2.66E+15,20170314,128,8,350,340,63032,65625,360
10,2.66E+15,20170314,128,7,351,351,171430,65921,0
11,2.66E+15,20170314,128,8,361,357,63845,65407,180
12,2.66E+15,20170314,128,7,359,360,184338,64601,0
13,2.66E+15,20170314,128,7,340,340,175953,65910,0
14,2.66E+15,20170314,128,7,355,355,182855,65804,0
15,2.66E+15,20170314,128,7,355,355,222231,65921,0
16,2.66E+15,20170314,128,8,350,340,63148,65658,270
17,2.66E+15,20170314,131,8,347,340,64159,70320,100,
18,2.66E+15,20170314,131,7,0,346,63023,65037,0
19,2.66E+15,20170314,131,7,352,340,100905,65642,0
20,2.66E+15,20170314,131,8,358,341,61513,70019,250
21,2.66E+15,20170314,131,7,351,351,170744,65030,0
22,2.66E+15,20170314,131,8,347,358,62200,65621,200
23,2.66E+15,20170314,131,7,340,340,64102,65016,0
24,2.66E+15,20170314,131,7,346,346,64400,65730,0
25,2.66E+15,20170314,130,7,351,351,151611,65529,0
26,2.66E+15,20170314,131,8,345,357,61816,65352,150
27,2.66E+15,20170314,131,7,350,340,73256,70545,0
28,2.66E+15,20170314,130,8,341,349,63259,65945,0
29,2.66E+15,20170314,130,8,349,343,64416,70131,0
30,2.66E+15,20170314,130,7,340,340,164321,70420,0
31,2.66E+15,20170314,130,8,349,340,62259,65031,0
32,2.66E+15,20170314,130,8,356,340,61235,65044,0
33,2.66E+15,20170314,128,8,356,344,62830,65924,360
34,2.66E+15,20170314,128,7,343,350,72542,65706,0
35,2.66E+15,20170314,128,8,356,360,64638,65933,180
36,2.66E+15,20170314,128,7,361,356,71157,70211,0
37,2.66E+15,20170314,128,7,354,354,191343,70011,0
38,2.66E+15,20170314,128,7,359,359,173232,70155,0
39,2.66E+15,20170314,128,7,359,360,182549,70257,0
40,2.66E+15,20170314,128,7,353,353,173647,65813,0
41,2.66E+15,20170314,128,7,350,350,182345,70004,0
42,2.66E+15,20170314,128,7,345,345,171754,70103,0
43,2.66E+15,20170314,128,7,359,360,200124,65629,0
44,2.66E+15,20170314,128,8,353,345,63754,65705,270
45,2.66E+15,20170314,128,7,356,356,171353,65825,0
46,2.66E+15,20170314,128,7,341,356,74136,65949,0
47,2.66E+15,20170314,128,7,341,348,71128,65659,0
48,2.66E+15,20170314,128,7,357,347,73025,70007,0
49,2.66E+15,20170314,128,7,360,360,174651,70205,0
50,2.66E+15,20170314,128,7,360,360,181624,70300,0
51,2.66E+15,20170314,128,7,360,360,182744,65624,0
52,2.66E+15,20170314,128,7,353,353,212640,70331,0
53,2.66E+15,20170314,128,7,342,356,73350,70031,0
54,2.66E+15,20170314,128,7,345,345,181643,65810,0
55,2.66E+15,20170314,128,8,354,347,63700,65909,270
56,2.66E+15,20170314,128,7,340,354,72703,65338,0
57,2.66E+15,20170314,128,7,340,353,84548,70058,0
58,2.66E+15,20170314,128,7,356,356,182526,65813,0
59,2.66E+15,20170314,128,8,354,359,63742,65804,270
60,2.66E+15,20170314,128,7,348,348,161240,70410,0
61,2.66E+15,20170314,128,7,345,360,73207,65925,0
62,2.66E+15,20170314,128,7,356,356,194810,70129,0
63,2.66E+15,20170314,128,7,346,353,71854,70009,0
64,2.66E+15,20170314,128,7,347,347,222002,65752,0
